			KONFIRMASI PELUNASAN UNIT PARENTING TAMAN PALEM

Kepada Yth	:

Cabang		: PARENTING TAMAN PALEM

Perihal		: Konfirmasi Pelunasan Unit

Sesuai konfirmasi pelunasan ke Cabang FIF PARENTING TAMAN PALEM maka dengan ini kami beritahukan bahwa pada tanggal 2017-09-12 kami telah melakukan pelunasan ke rekening MANDIRI 1200000056007 an PT FIF sejumlah Rp.606.400.000 dengan rincian sebagai berikut:

No. Mesin	No. Distribusi		Nama Konsumen		HBM

JB91E3396570	1230017SO00000197	DZACKY MOTOR	Rp.4.775.000
JF51E1712935	1230017SO00000197	DZACKY MOTOR	Rp.3.575.000
JBK3E1031224	1230017SO00000197	DZACKY MOTOR	Rp.2.275.000
JBE1E1524514	1230017SO00000197	DZACKY MOTOR	Rp.2.575.000
JFZ1E1179561	1230017SO00000197	DZACKY MOTOR	Rp.9.425.000
JFH1E1409356   	1230017SO00000197	DZACKY MOTOR	Rp.7.375.000
14D536433	1230017SO00000197	DZACKY MOTOR	Rp.1.775.000
JFY1E1002856	1230017SO00000197	DZACKY MOTOR	Rp.8.475.000
JFP1E2511884	1230017SO00000197	DZACKY MOTOR	Rp.8.475.000
14D1161075	1230017SO00000197	DZACKY MOTOR	Rp.2.525.000
JFS1E1350971	1230017SO00000197	DZACKY MOTOR	Rp.8.475.000
JM21E1131764	1230017SO00000197	DZACKY MOTOR	Rp.8.975.000
14D1086447	1230017SO00000197	DZACKY MOTOR	Rp.2.475.000
1UB080804	1230017SO00000197	DZACKY MOTOR	Rp.3.675.000
28D1249434	1230017SO00000197	DZACKY MOTOR	Rp.2.075.000
JF61E1281117	1230017SO00000197	DZACKY MOTOR	Rp.2.275.000
JFY1E1009491	1230017SO00000197	DZACKY MOTOR	Rp.7.925.000
JFR1E1082911	1230017SO00000197	DZACKY MOTOR	Rp.6.375.000
JFX1E1210278	1230017SO00000197	DZACKY MOTOR	Rp.9.525.000
JFP1E1908389	1230017SO00000197	DZACKY MOTOR	Rp.7.025.000
KF11E1679418	1230017SO00000197	DZACKY MOTOR	Rp.10.925.000
JFP1E2470701	1230017SO00000197	DZACKY MOTOR	Rp.6.875.000
JF91E1418977	1230017SO00000197	DZACKY MOTOR	Rp.6.075.000
KF11E1989303	1230017SO00000197	DZACKY MOTOR	Rp.15.275.000
E3R2E0627466	1230017SO00000197	DZACKY MOTOR	Rp.6.625.000
JFP1E2319892	1230017SO00000197	DZACKY MOTOR	Rp.6.625.000
JFV1E1207119	1230017SO00000197	DZACKY MOTOR	Rp.8.375.000
JBH1E1179212	1230017SO00000197	DZACKY MOTOR	Rp.4.275.000
28D2361492	1230017SO00000197	DZACKY MOTOR	Rp.2.375.000
JF91E1347606	1230017SO00000197	DZACKY MOTOR	Rp.5.375.000
KC31E1132212	1230017SO00000197	DZACKY MOTOR	Rp.3.925.000
28D321617	1230017SO00000197	DZACKY MOTOR	Rp.1.975.000
5D9779789	1230017SO00000197	DZACKY MOTOR	Rp.1.475.000
JBE2E1248078	1230017SO00000197	DZACKY MOTOR	Rp.2.625.000
54P765786	1230017SO00000197	DZACKY MOTOR	Rp.2.475.000
JFU1E1279782	1230017SO00000197	DZACKY MOTOR	Rp.9.475.000
JFU1E1355513	1230017SO00000197	DZACKY MOTOR	Rp.8.875.000
JFV1E1638045	1230017SO00000197	DZACKY MOTOR	Rp.12.975.000
JFU1E1737478	1230017SO00000197	DZACKY MOTOR	Rp.12.475.000
JFT1E1073303	1230017SO00000197	DZACKY MOTOR	Rp.7.275.000
KF11E1859687	1230017SO00000197	DZACKY MOTOR	Rp.12.775.000
KF11E2089618	1230017SO00000197	DZACKY MOTOR	Rp.14.975.000
5D91072533	1230017SO00000197	DZACKY MOTOR	Rp.1.525.000
KF11E1841893	1230017SO00000197	DZACKY MOTOR	Rp.14.775.000
JFZ1E1707283	1230017SO00000197	DZACKY MOTOR	Rp.10.275.000
JFZ1E1810356	1230017SO00000197	DZACKY MOTOR	Rp.10.275.000
JM21E1132293	1230017SO00000197	DZACKY MOTOR	Rp.9.425.000
JFZ2E1050333	1230017SO00000197	DZACKY MOTOR	Rp.11.025.000
JFV1E1572345	1230017SO00000197	DZACKY MOTOR	Rp.13.175.000
KF11E1955641	1230017SO00000197	DZACKY MOTOR	Rp.15.475.000
JFV1E1607721	1230017SO00000197	DZACKY MOTOR	Rp.13.175.000
14D984078	1230017SO00000197	DZACKY MOTOR	Rp.1.175.000
JFX1E1252702	1230017SO00000197	DZACKY MOTOR	Rp.9.375.000
